película,país,director,valoración
El padrino ,Estados Unidos,Francis Ford Coppola,"9,0"
El padrino. Parte II ,Estados Unidos,Francis Ford Coppola,"8,9"
La lista de Schindler ,Estados Unidos,Steven Spielberg,"8,6"
Cadena perpetua ,Estados Unidos,Frank Darabont,"8,6"
Pulp Fiction ,Estados Unidos,Quentin Tarantino,"8,6"
El golpe ,Estados Unidos,George Roy Hill,"8,5"
La vida es bella ,Italia,Roberto Benigni,"8,5"
Uno de los nuestros ,Estados Unidos,Martin Scorsese,"8,4"
Alguien voló sobre el nido del cuco ,Estados Unidos,Milos Forman,"8,3"
Cinema Paradiso ,Italia,Giuseppe Tornatore,"8,3"
Dersu Uzala (El cazador) ,Unión Soviética (URSS),Akira Kurosawa,"8,3"
Érase una vez en América ,Estados Unidos,Sergio Leone,"8,3"
Seven (Se7en) ,Estados Unidos,David Fincher,"8,3"
Apocalypse Now ,Estados Unidos,Francis Ford Coppola,"8,2"
Sin perdón ,Estados Unidos,Clint Eastwood,"8,2"
El silencio de los corderos ,Estados Unidos,Jonathan Demme,"8,2"
El precio del poder ,Estados Unidos,Brian De Palma,"8,2"
Forrest Gump ,Estados Unidos,Robert Zemeckis,"8,2"
Novecento (1900) ,Italia,Bernardo Bertolucci,"8,2"
En el nombre del padre ,Irlanda,Jim Sheridan,"8,2"
La chaqueta metálica ,Reino Unido,Stanley Kubrick,"8,2"
El resplandor ,Reino Unido,Stanley Kubrick,"8,2"
Twin Peaks - Episodio piloto (TV),Estados Unidos,David Lynch,"8,1"
La huella ,Reino Unido,Joseph L. Mankiewicz,"8,1"
Los santos inocentes ,España,Mario Camus,"8,1"
Reservoir Dogs ,Estados Unidos,Quentin Tarantino,"8,1"
Primera plana ,Estados Unidos,Billy Wilder,"8,1"
Blade Runner ,Estados Unidos,Ridley Scott,"8,1"
La guerra de las galaxias. Episodio V: El imperio contraataca ,Estados Unidos,Irvin Kershner,"8,1"
Secretos de un matrimonio ,Suecia,Ingmar Bergman,"8,1"
